Position,Name,CPU,Clock Speed,Score (cb),Extra Info
109,KingCry,Intel Core I7 4770K MKII,4.7ghz,188,
110,Dabombinable,Intel Core I7 4790K,4.8ghz,188,
111,AlexCo,Intel Core I7 6950X,4.4ghz,188,
112,Frankz,Intel Core I7 5820K,4.7ghz,187,
113,runit3,Intel Pentium G3258,4.9ghz,187,
114,Jumper118,Intel Core I5 2550K,5.35ghz,187,
115,gt403cyl,Intel Core I7 4770K,4.7ghz,187,
116,AlexCo,Intel Core I7 6800K,4.4ghz,187,
117,indika.lk,Intel Core I5 6600K,4.375ghz,187,
118,Spongy141,Intel Core I5 4690K,4.7ghz,187,
119,NeGaTo,Intel Core I5 2500K,5.299ghz,187,
120,amadino13,Intel Core I7 4790K,4.7ghz,186,
121,bamerx98,Intel Core I7 4790K,4.7ghz,186,
122,Speedsterx7,Intel Core I7 7700K,4.2ghz,186,
123,ProKoN,Intel Core I7 4770K,4.725ghz,185,
124,TheDigitalRealm,Intel Core I7 3770K,5ghz,184,
125,SpyRosL,Intel Core I5 3570K,5.139ghz,184,
126,WaitForMeImOnDialUp,Intel Core I7 4770K,4.6ghz,184,
127,TKmebrah,Intel Core I7 5820K,4.7ghz,184,
128,ViBEE,Intel Core I7 5820K,4.625ghz,184,
129,Jumper118,Intel Core I7 3770K,5.05ghz,183,Mpower 1.575V
130,Vaub,Intel Core I7 5820K,4.5ghz,183,
131,Belezeebub,Intel Core I7 5960X ,4.679ghz,183,
132,VSG,Intel Core I7 4770K,4.633ghz,182,
133,Jumper118,Intel Pentium G3258 (MK II),4.7ghz,182,
134,KingCry,Intel Core I7 4770K,4.6ghz,182,
135,Darkblade2117,Intel Core I3 6100T,4.292ghz,182,
136,MrZeroGood,Intel Core I7 4790K,4.7ghz,182,
137,TheGingerKid,Intel Core I5 4690K,4.713ghz,181,
139,Ragin Asian,Intel Core I5 4690K,4.6ghz,181,
140,tc3driver,Intel Core I7 4790K,4.7ghz,181,
141,Leo ft. Jumper118,Intel Core I5 3570K,5.030ghz,181,
142,Curufinwe_wins,Intel Core I7 5820K,4.6ghz,181,
143,Filthyscum,Intel Core I9 7960X,4.2ghz,181,
144,Overl0rd,Intel Core I7 2600K,5.101ghz,180,
145,retsel007,Intel Core I7 4930K,5ghz,180,
146,deathjester,Intel Core I7 4770K,4.5ghz,180,
147,Thorium19,Intel Core I7 4790K,4.6ghz,180,
148,LSky,Intel Core I5 4690K,4.6ghz,180,
149,Koori,Intel Core I5 4670K,4.6ghz,179,
150,tmcclelland455,Intel Pentium G3258,4.7ghz,179,
151,spanky1991,Intel Core I7 5820K,4.4ghz,179,
152,PHWOARR,Intel Core I7 6700K,4ghz,179,
153,SparkyRain,Intel Core I5 4690K,4.6ghz,179,
154,DildorTheDecent,Intel Core I5 3570K,4.9ghz,178,
156,OCing Noob,Intel Core I5 4690K,4.509ghz,178,
157,TheUnsimlingCat,Intel Core I7 6800K,4.5ghz,178,
158,Jumper118,AMD Ryzen 7 1800X,4.266ghz,178,
159,0x0000001,AMD Ryzen 7 2700X,4.35ghz,178,
160,Tech Wizard,Intel Xeon E5 1650 V2,4.899ghz,178,
161,harrynowl,Intel Pentium G3258,4.7ghz,177,
162,MightyUnit,Inttel Core I7 3770K,5ghz,177,
163,buzzinkeegs,AMD Ryzen 7 1800X,4.24ghz,177,
164,CzarFrog,Intel Core I7 4790K,4ghz,176,
165,awettree,Intel Core I7 5960X ,4.5ghz,176,
166,TheLhent,Intel Core i7 3930K,5.1ghz,176,
167,Serin,Intel Core I7 5960X ,4.5ghz,176,
168,Djxinator,Intel Core I7 6800K,4.2ghz,176,
169,Tech Wizard,Intel Core I7 3820,5.023ghz,176,
170,Bubblewhale,Intel Core I7 2600K,5.0ghz,176,
171,overthebars39,AMD Ryzen 7 2700X,4.1ghz,176,
172,TheJammieDodger,Intel Pentium G3258,4.6ghz,175,
173,DeathPheonix,Intel Core I7 6850K,4.3ghz,175,
174,ghostdogg,Intel Core I7 5820K,4.5ghz,174,
175,Madspec,Intel Core I7 4770K,4.4ghz,174,
176,HazMatt,Intel Core I5 2500K,5ghz,174,
177,Anthariel,Intel Core I7 5820K,4.6ghz,174,
178,DeathPheonix,Intel Core I7 5930K,4.5ghz,174,
179,Tech Wizard,Intel Core I7 3930K,4.957ghz,174,
180,runit3,Intel Core I7 5960X ,4.376ghz,173,
181,mrbulle,Intel Core I7 4960X,4.8ghz,173,
182,Leo,Intel Core I5 3570K,4.8ghz,173,
183,Gazereths,Intel Core I7 4790K,4.4ghz,173,
