Position,Name,CPU,Clock Speed,Score (cb),extra info
163,FireStormChiMerA,AMD Ryzen 7 2700,3.8ghz,1725,
164,Audengineer,2x Intel Xeon E5 2630 v2,2.964ghz ,1724,
165,P4LL3R,Intel Core I7 5960X ,4.5ghz,1724,
166,Ashiella,AMD Ryzen 7 1700,3.939ghz,1720,
167,Najuno,Intel Core I7 5960X ,4.5ghz,1719,
168,B NEGATIVE,2x Intel Xeon X5650,3.83ghz,1712,
169,LSky,AMD Ryzen 7 1700,3.917ghz,1712,
170,zxsq,AMD Ryzen 7 1700X,3.925ghz,1711,
171,Masada02,Intel Core I7 8700K,5.1ghz,1711,
172,Sprawlie,AMD Ryzen 7 1700,3.85ghz,1710,
173,Picklestine,Intel Core I7 8700K,5.2ghz,1706,
174,knightslugger,AMD Ryzen 7 1700X,3.992ghz,1704,
175,GMart84,Intel Core I7 8086K,5.301ghz,1704,
176,PisUshax,AMD Ryzen 5 1600 8 Core,3.893ghz,1702,
177,Legendarypoet,Intel Core I7 8700K,5.2ghz,1700,
178,Szamus,Intel Core I7 6900K,4.4ghz,1699,
179,WHWidjaja,Intel Core I7 8086K,5.1ghz,1695,
180,Nah Xirok,AMD Ryzen 7 1700,3.807ghz,1694,
181,Zeny1,Intel Core I7 8700K,5.1ghz,1693,
182,MarcusR1700,AMD Ryzen 7 1700,3.894ghz,1689,
183,Deusrex,AMD Ryzen 7 1700X,3.975ghz,1686,
184,dogger20011,AMD Ryzen 7 1700,4ghz,1685,
185,Simon,AMD Ryzen 7 1700,3.824ghz,1684,
186,Coaxialgamer,AMD Ryzen 7 1700,3.8ghz,1683,
187,DarkSmith2,Intel Core I7 8700K,5ghz,1682,
188,Whitshad,AMD Ryzen 7 1700,3.724ghz,1682,
189,Cookybiscuit,Intel Core I7 8700K,5.1ghz,1680,
190,WHWidjaja,AMD Ryzen 7 1700,3.8ghz,1674,
191,Decon,2x Intel Xeon X5645,3.6ghz,1673,
192,Mr.Dingle,AMD Ryzen 7 1700,3.792ghz,1672,
193,citrix13,Intel Core I7 5960X ,4.4ghz,1671,
194,rtsurfer,Intel Core I7 5930K,5.590ghz,1670,
195,tbob22,Intel Xeon E5 1680 V2,4.6ghz,1669,
196,CrypticSnow,AMD Ryzen 7 2700X,4.275ghz,1668,
197,Mister Woof,Intel Core I7 8700K,5ghz,1661,
198,Dellers,Intel Core I7 8700K,4.901ghz,1658,
199,DanielWGK,AMD Ryzen 7 1700,3.75ghz,1654,
200,Quarantino,AMD Ryzen 7 1700,3.7ghz,1654,
201,helgehelge123,Intel Core I7 8700K,5.083ghz,1652,
202,daimonie,Intel Core I7 8700K,5ghz,1651,
203,aaws,Intel Core I7 8086K,5ghz,1651,
204,jstudrawa,Intel Core I7 8700K,5ghz,1650,
205,Cloveh,Intel Core I7 8700K,5ghz,1646,
206,Danboy360,AMD Ryzen 7 1700,3.899ghz,1644,
207,RealCereal,AMD Ryzen 7 1700X,3.790ghz,1644,
208,thenotoriousmma,Intel Core I7 8700K,5ghz,1641,
209,slightlyjaded,Intel Core I7 5960X ,3.75ghz,1640,
210,Riley-NZL,Intel Core I7 6900K,4ghz,1633,
211,kinski,AMD Ryzen 7 1700,3.8ghz,1633,
212,DickieIam,AMD Ryzen 7 1800X,3.85ghz,1629,
213,Masada02,another fake extreme cpu :P,5.1ghz,1621,
214,DunePilot,2x Intel Xeon X5690,3.46ghz,1612,
215,radar52,Intel Core I7 8700K,5.1ghz,1611,
216,Jumper118,AMD Ryzen 5 2600X,4.543ghz,1611,
217,scottyseng,Intel Xeon E5 2695 V3,2.5ghz,1608,
218,Rafael Pinto,Intel Core I7 8700K,5ghz,1606,
219,reptileexperts,Intel Core I7 8700K,5ghz,1605,
220,DeanS,2x Intel Xeon E5 2650,2.5ghz,1603,
221,dexT,Intel Core I7 5820K,5.251ghz,1603,
222,HaiDZ,AMD Ryzen 7 1700X,3.791ghz,1602,
223,agent_x007,Intel Xeon E5 1680 V2,4.5ghz,1602,
224,Poohy14,Intel Xeon E5 2670 V3,2.611ghz,1587,
225,cortexcortex,Intel Core I7 5960X ,4.2ghz,1585,
226,porina,Intel Xeon E5 2683 V3,2ghz,1585,
227,Cheddle,Intel Core I7 7800X,4.8ghz,1585,
228,Flowroro,Intel Core I7 8700K,5ghz,1580,
229,Kibbz,AMD Ryzen 7 1700,3.591ghz,1579,
230,seltzz08,AMD Ryzen 7 1700,3.641ghz,1576,
231,rtsurfer,Intel Core I7 5820K,5.135ghz,1568,
232,BTLCustom,AMD Ryzen 7 1700,3.65ghz,1567,
233,kinski,Intel Xeon E5 2683 V3,2.3ghz,1564,
234,C-Terezakis,Intel Core I7 5960X ,3.3ghz,1563,
235,O9B0666,Intel Core I7 8700K,4.9ghz,1555,
236,kinski,Intel Xeon E5 2675 V3,2ghz,1554,
237,Joostan,Intel Core I7 8700K,4.9ghz,1541,
238,Exifcient,Intel Core I7 8700K,4.7ghz,1540,
239,farhnorakzai,Intel Core I7 5960X ,4ghz,1534,
240,iggybo,AMD Ryzen 7 1700X,3.767ghz,1525,
241,Reutech,Intel Core I7 7820X,4.3ghz,1524,
242,Alexquer76,AMD Ryzen 7 2700,3.425ghz,1522,
243,rtsurfer,Intel Core I7 6700K,6.777ghz,1516,
244,Gofspar,Intel Core I7 5820K,4.964ghz,1515,
245,Jumper118,Intel Core I7 5930K,4.911ghz,1484,
246,TopHatProductions115,2x Intel Xeon X5680,3.458ghz,1477,
247,JRzoid,AMD Ryzen 5 2600X,4.298ghz,1477,
248,wcarr0305,AMD Ryzen 7 1700X,3.5ghz,1470,
249,DildorTheDecent,Intel Core I7 5820K,4.8ghz,1459,
250,Swiip,Intel Xeon E5 ???? V3,2.7ghz,1459,
251,K0NA,2x Intel Xeon X5675,3.333ghz,1450,
252,harrynowl,Intel Xeon E5 1650 ,5.597ghz,1443,
253,JurunceNK,Intel Core I7 5930K,4.8ghz,1442,
254,Melmac,AMD Ryzen 5 2600X,4.191ghz,1440,
255,Lays,Intel Core I7 5820K,4.759ghz,1437,
256,tbob22,2x Intel Xeon X5670,2.94ghz,1434,
257,JohnDongus,AMD Ryzen 5 1600X,4.247ghz,1431,
258,TheHawzzy,Intel Core I7 8700K,4.4ghz,1430,
259,PtrkLnk,2x Intel Xeon X5675,3.458ghz,1428,
260,Frankz,Intel Core I7 5820K,4.7ghz,1425,
261,Jumper118,AMD Ryzen 5 1600X,4.015ghz,1424,
262,Jumper118,AMD Ryzen 5 1600,4.040ghz,1421,
263,Princess Cadence,Intel Core I7 8700,4.428ghz,1415,
264,TKmebrah,Intel Core I7 5820K,4.7ghz,1412,
265,AlexCo,Intel Core I7 6800K,4.4ghz,1409,
266,Cheddle,Intel Core I7 5820K,4.75ghz,1409,
267,Jumper118,Intel Core I7 5820K,4.625ghz,1407,
268,KazeNilrem,Intel Core I7 9700K,4.3ghz,1407,
